"agemate_no_report","ethnic_group","sex","marital_status","territorial_section","attend_school","school_yrs","town","town_yrs"
0,0,0,1,0,0,0,0,0
0,0,1,2,0,1,11,0,0
0,0,0,1,0,0,0,1,30
0,0,0,1,0,1,6,0,0
0,0,0,1,0,1,8,1,1
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,5,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,1,20
0,0,1,1,0,1,1,0,0
0,0,1,1,0,0,0,1,15
0,0,1,1,0,0,0,1,30
0,0,1,0,0,1,7,1,30
0,0,1,1,0,0,0,1,30
0,0,1,1,0,0,0,1,20
0,0,0,1,0,1,5,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,4,0,0,0,0,0
0,0,0,1,0,1,4,0,0
0,0,0,1,0,1,5,1,20
0,0,0,1,0,0,0,1,5
0,0,1,0,0,1,8,0,0
0,0,1,1,0,1,7,1,31
0,0,1,1,0,1,12,0,0
0,0,0,4,0,1,1,1,2
0,0,1,1,0,0,0,1,7
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,6,1,20
0,0,1,1,0,1,7,1,17
0,0,1,1,0,0,0,1,4
0,0,0,0,0,1,4,1,2
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,4
0,0,0,4,0,0,0,1,6
0,0,0,1,0,0,0,0,0
0,0,0,4,0,0,0,0,0
0,0,0,2,0,1,8,1,17
0,0,0,1,0,0,0,1,1
0,0,1,1,0,0,0,1,3
0,0,0,1,0,1,12,1,18
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,7,0,0
0,0,0,4,0,0,0,0,0
0,0,0,4,0,1,7,0,0
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,8,0,0
0,0,1,1,0,1,7,0,0
0,0,1,1,0,1,7,0,0
0,0,1,1,0,1,5,0,0
0,0,0,1,0,1,12,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,20
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,1,30
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,8,1,20
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,5,1,17
0,0,1,1,0,1,5,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,1,22
0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,8,1,12
0,0,0,4,0,0,0,0,0
0,0,1,1,0,0,0,1,20
0,0,0,1,0,1,6,1,20
0,0,0,1,0,1,3,0,0
0,0,0,0,0,0,0,1,20
1,0,0,1,0,1,3,0,0
0,0,1,1,0,0,0,1,22
0,0,0,1,0,0,0,1,20
0,0,1,1,0,1,5,1,26
0,0,1,1,0,1,12,0,0
0,0,0,1,0,0,0,1,6
0,0,1,1,0,1,13,1,3
0,0,1,1,0,0,0,1,20
0,0,1,1,0,1,14,1,7
0,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0
0,0,0,1,0,1,9,1,1
0,0,0,0,0,0,0,1,10
0,0,1,1,0,0,0,0,0
0,0,1,1,0,1,7,0,0
0,0,0,0,0,1,8,1,9
0,0,1,1,0,1,12,1,12
0,0,1,1,0,0,0,1,2
0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,0,1,0,1,3,1,1
0,1,0,4,0,0,0,1,5
0,1,1,1,0,0,0,1,4
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,4
0,1,0,1,0,0,0,1,4
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,2
0,1,0,4,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,1
0,1,0,4,0,1,3,0,0
0,1,0,4,0,0,0,1,15
0,1,0,1,0,0,0,1,5
0,1,0,4,0,0,0,1,19
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
1,1,0,4,0,0,0,1,1
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,6
1,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,1,3,1,4
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,4,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,1,1,2
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,3
0,1,1,1,0,0,0,1,8
0,1,0,1,0,0,0,1,3
0,1,0,1,0,0,0,1,5
0,1,0,1,0,1,1,1,2
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,2
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,1,3
0,1,1,1,0,0,0,0,0
0,1,1,1,0,1,16,1,6
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,1,2,1,3
0,1,0,1,0,0,0,0,0
0,1,0,4,0,0,0,0,0
0,1,1,1,0,0,0,1,8
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,3
1,1,0,1,0,0,0,1,20
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,4,0,1,1,1,10
0,1,1,1,0,0,0,1,25
0,1,0,4,0,0,0,0,0
1,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
1,1,0,4,0,0,0,0,0
0,1,1,1,0,0,0,1,1
0,1,1,1,0,0,0,1,10
0,1,1,1,0,0,0,1,4
0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,1,10
0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0
0,1,0,4,0,0,0,0,0
0,1,0,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0
0,1,0,4,0,0,0,1,10
1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1
0,1,0,4,0,0,0,0,0
0,1,0,4,0,0,0,0,0
0,1,0,4,0,0,0,1,2
0,1,0,1,0,0,0,1,10
0,2,1,1,0,1,8,1,4
0,2,1,1,0,0,0,0,0
0,2,0,4,0,0,0,1,5
0,2,1,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,0,4,0,0,0,0,0
0,2,0,4,0,1,4,1,15
0,2,0,1,0,0,0,0,0
0,2,0,4,0,0,0,1,3
0,2,0,1,0,0,0,0,0
0,2,0,4,0,0,0,0,0
0,2,0,1,0,1,6,0,0
0,2,0,4,0,0,0,1,1
0,2,0,1,0,1,1,0,0
0,2,0,1,0,0,0,0,0
0,2,0,1,0,1,12,1,15
0,2,1,1,0,1,7,0,0
0,2,1,1,0,0,0,0,0
0,2,0,1,0,0,0,1,7
0,2,0,4,0,0,0,0,0
0,2,0,4,0,0,0,1,15
0,2,0,1,0,1,3,1,10
0,2,1,1,0,1,5,0,0
0,2,1,4,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,0,4,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,0,0,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
1,2,1,1,0,1,14,0,0
0,2,1,1,0,1,3,0,0
0,2,1,1,0,1,6,0,0
1,2,1,1,0,1,8,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,0,4,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,1,12,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,0,4,0,0,0,1,11
0,2,0,1,0,1,4,1,4
1,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,1,2,1,3
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,0,1,0,1,3,1,7
0,2,1,1,0,0,0,1,35
0,2,0,1,0,0,0,0,0
0,2,1,1,0,1,4,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,1,6,0,0
0,2,0,1,0,0,0,1,3
0,2,0,1,0,0,0,0,0
0,2,1,1,0,1,1,1,1
0,2,1,1,0,1,1,1,5
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,1,8,0,0
0,2,0,1,0,0,0,1,20
0,2,0,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,0,1,0,0,0,1,3
0,2,1,1,0,0,0,1,3
0,2,0,1,0,0,0,1,1
0,2,0,1,0,0,0,0,0
1,2,0,1,0,0,0,1,6
0,2,0,1,0,0,0,1,2
0,2,0,1,0,0,0,1,18
0,2,0,1,0,0,0,0,0
1,2,1,2,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,2,0,1,4,1,5
0,2,0,1,0,0,0,1,4
0,2,0,1,0,0,0,1,6
0,2,0,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,0,1,0,0,0,0,0
0,2,1,2,0,1,7,1,5
0,2,0,1,0,1,3,0,0
0,2,0,1,0,0,0,0,0
0,2,1,1,0,0,0,0,0
0,2,1,1,0,0,0,1,35
0,2,1,1,0,0,0,1,20
1,3,1,3,3,1,1,1,12
0,3,1,2,3,0,0,1,2
0,3,1,2,3,0,0,1,1
1,3,0,2,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,0,0,1,1
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,1,5
0,3,0,1,3,0,0,0,0
1,3,0,1,3,0,0,1,2
1,3,1,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
1,3,0,1,2,0,0,0,0
1,3,0,3,2,0,0,0,0
1,3,0,3,2,1,1,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,0,3,2,1,3,1,2
1,3,0,1,2,0,0,0,0
1,3,1,1,2,0,0,0,0
1,3,1,3,2,1,1,1,2
1,3,1,2,2,0,0,0,0
1,3,0,3,2,0,0,1,5
1,3,1,3,2,1,7,1,4
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,1,3,2,1,2,1,18
1,3,1,3,2,1,1,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,1,1
0,3,1,3,2,1,1,0,0
0,3,1,2,2,1,8,1,12
1,3,0,1,2,1,1,0,0
1,3,1,1,2,0,0,0,0
1,3,1,1,2,1,3,1,15
0,3,0,3,2,0,0,0,0
1,3,1,1,2,0,0,1,20
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,1,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,1,20
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,1,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,1,1,3,0,0,1,2
0,3,0,3,3,0,0,0,0
0,3,0,3,3,1,4,1,15
0,3,0,1,3,1,5,1,5
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
1,3,1,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,1,1,3,0,0,0,0
1,3,1,1,1,0,0,1,10
0,3,0,1,1,0,0,1,10
0,3,0,1,1,0,0,0,0
1,3,1,1,1,1,3,1,17
0,3,0,1,1,1,3,1,18
1,3,0,1,1,0,0,1,14
0,3,1,2,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,1,1,1,14
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
1,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,2,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,1,3,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,1,1,1,1
0,3,1,3,1,1,3,1,3
0,3,1,1,1,0,0,0,0
0,3,1,3,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,3,1,0,0,1,10
0,3,0,3,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,1,3,1,0,0,1,1
0,3,0,3,1,1,1,1,20
0,3,0,3,1,0,0,0,0
0,3,0,2,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,1,1
0,3,1,1,1,0,0,0,0
0,3,1,3,1,0,0,1,34
1,3,1,2,1,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,1,2
1,3,0,1,3,0,0,0,0
0,3,1,3,3,0,0,0,0
0,3,0,2,3,1,3,1,5
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
1,3,0,3,3,0,0,0,0
1,3,1,3,2,1,5,1,10
1,3,0,3,2,1,1,1,13
0,3,0,1,2,1,1,0,0
0,3,0,1,2,0,0,0,0
0,3,1,3,2,0,0,0,0
1,3,1,1,2,0,0,0,0
0,3,0,1,2,1,1,0,0
0,3,0,1,2,0,0,0,0
1,3,0,1,2,0,0,1,30
1,3,1,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
1,3,1,1,2,0,0,0,0
1,3,0,3,2,0,0,0,0
1,3,1,3,2,0,0,0,0
0,3,0,1,2,1,3,0,0
0,3,1,1,2,0,0,1,3
0,3,0,1,2,0,0,0,0
1,3,0,1,2,1,1,1,3
0,3,0,1,2,0,0,0,0
1,3,0,3,2,1,2,0,0
0,3,1,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
1,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
1,3,1,1,2,0,0,0,0
0,3,0,3,2,1,1,0,0
1,3,0,3,2,0,0,0,0
1,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,1,3,2,0,0,1,1
1,3,0,3,2,1,3,0,0
1,3,0,1,2,0,0,0,0
0,3,1,3,2,1,2,1,1
1,3,0,1,2,0,0,0,0
1,3,0,1,3,0,0,0,0
1,3,0,1,3,0,0,0,0
1,3,0,3,3,0,0,0,0
1,3,0,1,3,0,0,1,3
1,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
1,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,1,2
0,3,0,3,3,1,2,1,1
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,1,15
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
1,3,1,1,3,1,2,0,0
0,3,0,3,3,0,0,0,0
1,3,1,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,1,2,1,10
0,3,1,1,3,0,0,1,10
1,3,1,1,3,0,0,0,0
0,3,1,3,3,0,0,0,0
1,3,1,1,3,0,0,0,0
0,3,0,1,1,0,0,1,1
0,3,1,3,1,1,10,1,15
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,1,1
0,3,0,3,1,1,1,1,5
0,3,0,3,1,0,0,0,0
0,3,0,1,1,1,4,1,3
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
1,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,3,1,0,0,0,0
0,3,0,3,1,0,0,1,10
0,3,1,1,1,1,2,1,2
0,3,1,2,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,1,2,1,0,0,1,3
0,3,0,1,1,0,0,0,0
0,3,0,1,1,1,1,1,3
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,1,3,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,1,10
0,3,1,3,1,0,0,1,3
0,3,0,3,1,0,0,0,0
0,3,1,3,1,0,0,1,8
0,3,1,3,1,1,2,1,4
0,3,0,1,1,0,0,0,0
0,3,1,3,1,0,0,1,1
0,3,1,1,1,0,0,1,3
0,3,0,1,1,0,0,0,0
0,3,0,3,1,1,2,1,15
0,3,0,1,1,0,0,1,3
0,3,1,3,1,1,1,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,1,1
0,3,1,1,1,0,0,0,0
0,3,1,1,1,0,0,1,7
0,3,1,1,1,0,0,1,4
0,3,1,3,1,0,0,1,1
1,3,0,3,3,0,0,0,0
0,3,1,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,1,3,0,0,0,0
0,3,1,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,1,1,3,1,3,1,3
0,3,1,1,3,0,0,1,3
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,1,1,3,0,0,1,1
0,3,0,1,3,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,1,5
0,3,1,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,3,2,1,4,1,4
0,3,1,3,2,0,0,0,0
0,3,0,3,2,0,0,1,3
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,2,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,1,1
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
1,3,0,1,2,1,1,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,1,1
1,3,0,3,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,1,2,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,1,1,2,0,0,1,18
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,1,2
1,3,0,3,2,0,0,0,0
0,3,1,3,2,0,0,1,23
1,3,1,3,2,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,3,3,0,0,1,1
0,3,1,1,3,0,0,0,0
0,3,1,2,3,1,5,1,20
1,3,1,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,1,2,1,2
0,3,0,3,3,0,0,1,1
0,3,0,1,3,0,0,1,3
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,1,3,0,0,0,0
0,3,1,2,3,0,0,1,26
0,3,1,3,3,0,0,1,10
0,3,1,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,1,5
0,3,0,1,1,0,0,1,3
0,3,0,3,1,0,0,0,0
0,3,0,3,1,1,4,1,4
0,3,0,1,1,0,0,0,0
0,3,1,3,1,1,5,1,15
0,3,1,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,3,1,0,0,1,2
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,1,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,1,2,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,1,1,1,3,1,5
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,0,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,3,1,0,0,1,1
0,3,1,3,1,0,0,1,25
0,3,0,2,1,0,0,0,0
0,3,0,3,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,0,1,1,0,0,1,2
0,3,1,1,1,0,0,0,0
0,3,1,1,1,0,0,0,0
0,3,1,2,1,1,2,1,2
0,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,2,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
1,3,0,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,1,2,1,10
0,3,1,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,2,3,0,0,1,1
0,3,0,3,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,1,1,3,0,0,0,0
0,3,1,3,3,0,0,0,0
0,3,1,1,3,0,0,0,0
1,3,1,3,3,0,0,0,0
0,3,0,3,3,0,0,0,0
1,3,0,3,3,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,1,7,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,3,2,0,0,0,0
0,3,1,3,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,1,3,2,1,3,1,5
0,3,0,1,2,1,1,1,11
0,3,0,1,2,0,0,0,0
0,3,1,2,2,1,1,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,1,16
0,3,0,1,2,0,0,1,1
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,1,3,2,1,3,1,7
0,3,1,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,0,3,2,0,0,0,0
0,3,0,1,2,0,0,0,0
0,3,1,1,2,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,4,3,0,0,0,0
0,3,0,1,3,1,2,0,0
0,3,1,1,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,0,0,0,0
0,3,1,2,3,0,0,0,0
0,3,0,1,3,0,0,1,1
0,3,1,2,3,0,0,0,0
0,3,0,1,3,0,0,0,0
0,3,0,3,3,1,5,1,3
